"legis.names","mean.x","vars.x","party","year","session"
"沈富雄",-1.04768431339056,0.00678872119537732,"D",1993,"2nd Session"
"沈智慧",0.851087460217379,0.00678872119537732,"K",1993,"2nd Session"
"洪冬桂",0.971230342629345,0.00678872119537732,"K",1993,"2nd Session"
"洪奇昌",-1.24180096567659,0.00678872119537732,"D",1993,"2nd Session"
"洪性榮",0.242712378900121,0.00678872119537732,"K",1993,"2nd Session"
"洪昭男",0.491805103580565,0.00678872119537732,"K",1993,"2nd Session"
"洪濬哲",0.796994343770099,0.00678872119537732,"K",1993,"2nd Session"
"洪玉欽",1.18175155881443,0.00678872119537732,"K",1993,"2nd Session"
"洪秀柱",0.361930768815843,0.00678872119537732,"K",1993,"2nd Session"
"游日正",-0.257662118813546,0.00678872119537732,"K",1993,"2nd Session"
"游淮銀",1.42309275056024,0.00678872119537732,"K",1993,"2nd Session"
"潘維剛",0.439901219221258,0.00678872119537732,"K",1993,"2nd Session"
"王世雄",0.391547350556654,0.00678872119537732,"K",1993,"2nd Session"
"王國清",0.684288030986351,0.00678872119537732,"K",1993,"2nd Session"
"王天競",0.747964031936118,0.00678872119537732,"K",1993,"2nd Session"
"王建瑄",-0.332314260382339,0.00678872119537732,"k2",1993,"2nd Session"
"王金平",1.39992279713426,0.00678872119537732,"K",1993,"2nd Session"
"王顯明",0.719485146678598,0.00678872119537732,"K",1993,"2nd Session"
"瓦歷斯貝林",-0.703331780044941,0.00678872119537732,"O1",1993,"2nd Session"
"盧修一",-1.06736123668598,0.00678872119537732,"D",1993,"2nd Session"
"程建人",0.763674955345966,0.00678872119537732,"K",1993,"2nd Session"
"羅傳進",1.36764970509569,0.00678872119537732,"K",1993,"2nd Session"
"翁大銘",-0.731725703804827,0.00678872119537732,"O1",1993,"2nd Session"
"翁重鈞",0.338075765885248,0.00678872119537732,"K",1993,"2nd Session"
"翁金珠",-1.48238571651348,0.00678872119537732,"D",1993,"2nd Session"
"莊金生",0.837547482649902,0.00678872119537732,"K",1993,"2nd Session"
"華加志",0.828375226799645,0.00678872119537732,"K",1993,"2nd Session"
"葉憲修",-0.950569428811827,0.00678872119537732,"O1",1993,"2nd Session"
"葉耀鵬",-1.30328927350886,0.00678872119537732,"D",1993,"2nd Session"
"葉菊蘭",-1.21497838728174,0.00678872119537732,"D",1993,"2nd Session"
"葛雨琴",0.389788979821937,0.00678872119537732,"K",1993,"2nd Session"
"蔡中涵",0.499286247109167,0.00678872119537732,"K",1993,"2nd Session"
"蔡勝邦",0.954457002652337,0.00678872119537732,"K",1993,"2nd Session"
"蔡友土",1.44618301948283,0.00678872119537732,"K",1993,"2nd Session"
"蔡同榮",-1.04583334714826,0.00678872119537732,"D",1993,"2nd Session"
"蔡式淵",-1.46124664971046,0.00678872119537732,"D",1993,"2nd Session"
"蕭金蘭",0.768758186306725,0.00678872119537732,"K",1993,"2nd Session"
"蘇嘉全",-1.33033893200218,0.00678872119537732,"D",1993,"2nd Session"
"蘇火燈",0.221312905484127,0.00678872119537732,"K",1993,"2nd Session"
"蘇煥智",-1.05398663747393,0.00678872119537732,"D",1993,"2nd Session"
"許國泰",-1.18167238661592,0.00678872119537732,"D",1993,"2nd Session"
"許添財",-1.06513330832374,0.00678872119537732,"D",1993,"2nd Session"
"詹裕仁",0.166244518447412,0.00678872119537732,"K",1993,"2nd Session"
"謝啟大",-0.516187707492081,0.00678872119537732,"k2",1993,"2nd Session"
"謝深山",0.944097436221556,0.00678872119537732,"K",1993,"2nd Session"
"謝聰敏",-1.18824934958041,0.00678872119537732,"D",1993,"2nd Session"
"謝長廷",-1.07417366412961,0.00678872119537732,"D",1993,"2nd Session"
"賴英芳",-0.514299341172223,0.00678872119537732,"O1",1993,"2nd Session"
"趙少康",-0.433073463080617,0.00678872119537732,"k2",1993,"2nd Session"
"趙振鵬",0.898051515530282,0.00678872119537732,"K",1993,"2nd Session"
"趙永清",0.384389095457383,0.00678872119537732,"K",1993,"2nd Session"
"趙琇娃",-1.28481708041079,0.00678872119537732,"D",1993,"2nd Session"
"邱垂貞",-1.2906526165041,0.00678872119537732,"D",1993,"2nd Session"
"邱連輝",-1.41667452427395,0.00678872119537732,"D",1993,"2nd Session"
"郁慕明",-0.544979359109179,0.00678872119537732,"k2",1993,"2nd Session"
"郭廷才",0.648410686821604,0.00678872119537732,"K",1993,"2nd Session"
"郭政權",0.772033571110626,0.00678872119537732,"K",1993,"2nd Session"
"郭石城",1.09457537637805,0.00678872119537732,"K",1993,"2nd Session"
"郭金生",0.804854784734773,0.00678872119537732,"K",1993,"2nd Session"
"鄭逢時",1.02456760881879,0.00678872119537732,"K",1993,"2nd Session"
"關中",0.336459920968778,0.00678872119537732,"K",1993,"2nd Session"
"陳健民",1.25664976715903,0.00678872119537732,"K",1993,"2nd Session"
"陳傑儒",0.650760231724249,0.00678872119537732,"K",1993,"2nd Session"
"陳光復",-1.26973725867515,0.00678872119537732,"D",1993,"2nd Session"
"陳哲男",-1.15952514488114,0.00678872119537732,"D",1993,"2nd Session"
"陳唐山",-1.0776074693757,0.00678872119537732,"D",1993,"2nd Session"
"陳婉真",-1.28695665714045,0.00678872119537732,"D",1993,"2nd Session"
"陳宏昌",1.32047050253175,0.00678872119537732,"K",1993,"2nd Session"
"陳定南",-1.30954954142004,0.00678872119537732,"D",1993,"2nd Session"
"陳建平",1.15153004347102,0.00678872119537732,"K",1993,"2nd Session"
"陳志彬",-0.155376840798454,0.00678872119537732,"K",1993,"2nd Session"
"陳昭南",-0.0245266063328925,0.00678872119537732,"D",1993,"2nd Session"
"陳朝容",1.13401686305559,0.00678872119537732,"K",1993,"2nd Session"
"陳水扁",-1.28013750690028,0.00678872119537732,"D",1993,"2nd Session"
"陳清寶",0.155741236375777,0.00678872119537732,"K",1993,"2nd Session"
"陳璽安",1.43281434857251,0.00678872119537732,"K",1993,"2nd Session"
"陳癸淼",-0.168414571364956,0.00678872119537732,"k2",1993,"2nd Session"
"陳錫章",0.811653853020511,0.00678872119537732,"K",1993,"2nd Session"
"韓國瑜",0.364578607565639,0.00678872119537732,"K",1993,"2nd Session"
"顏錦福",-1.31396315241887,0.00678872119537732,"D",1993,"2nd Session"
"饒穎奇",1.32994365787866,0.00678872119537732,"K",1993,"2nd Session"
"馬賴古麥",1.10922285357373,0.00678872119537732,"K",1993,"2nd Session"
"高巍和",1.02605518906034,0.00678872119537732,"K",1993,"2nd Session"
"高育仁",0.354717347682546,0.00678872119537732,"K",1993,"2nd Session"
"魏耀乾",-1.2003144402479,0.00678872119537732,"D",1993,"2nd Session"
"魏鏞",0.261726991648612,0.00678872119537732,"K",1993,"2nd Session"
"黃主文",0.479243149363271,0.00678872119537732,"K",1993,"2nd Session"
"黃信介",-1.22775260947577,0.00678872119537732,"D",1993,"2nd Session"
"黃昭輝",-1.17123744043282,0.00678872119537732,"D",1993,"2nd Session"
"黃昭順",0.490394049174911,0.00678872119537732,"K",1993,"2nd Session"
"黃正一",1.13562179490891,0.00678872119537732,"K",1993,"2nd Session"
"黃煌雄",-1.20293006013485,0.00678872119537732,"D",1993,"2nd Session"
"黃爾璇",-1.32027333024078,0.00678872119537732,"D",1993,"2nd Session"
"丁守中",0.749378770872288,0.00449698961579326,"K",1994,"2nd Session"
"何智輝",-0.0939191418022284,0.00449698961579326,"K",1994,"2nd Session"
"余政憲",-0.0939191418022284,0.00449698961579326,"D",1994,"2nd Session"
"余玲雅",-1.28145021832014,0.00449698961579326,"D",1994,"2nd Session"
"侯海熊",-1.29630532040644,0.00449698961579326,"D",1994,"2nd Session"
"劉光華",1.06134140780879,0.00449698961579326,"K",1994,"2nd Session"
"劉國昭",0.962083565357223,0.00449698961579326,"K",1994,"2nd Session"
"劉政鴻",0.857437819438961,0.00449698961579326,"K",1994,"2nd Session"
"劉文慶",-1.24897071364206,0.00449698961579326,"D",1994,"2nd Session"
"劉松藩",0.0953600230697115,0.00449698961579326,"K",1994,"2nd Session"
"劉炳華",0.957056253754042,0.00449698961579326,"K",1994,"2nd Session"
"劉瑞生",1.02372001606166,0.00449698961579326,"K",1994,"2nd Session"
"吳德美",0.977091942076504,0.00449698961579326,"K",1994,"2nd Session"
"吳東昇",0.940453683204781,0.00449698961579326,"K",1994,"2nd Session"
"吳耀寬",-0.0939191418022284,0.00449698961579326,"K",1994,"2nd Session"
"呂新民",0.867952254343614,0.00449698961579326,"K",1994,"2nd Session"
"呂秀蓮",-1.31328776777044,0.00449698961579326,"D",1994,"2nd Session"
"周伯倫",-1.33898136884453,0.00449698961579326,"D",1994,"2nd Session"
"周書府",0.880715986813382,0.00449698961579326,"K",1994,"2nd Session"
"周荃",-0.688437744366368,0.00449698961579326,"k2",1994,"2nd Session"
"嚴啟昌",0.846237830895739,0.00449698961579326,"K",1994,"2nd Session"
"姚嘉文",-1.31457998247857,0.00449698961579326,"D",1994,"2nd Session"
"尤宏",-1.21605489362097,0.00449698961579326,"D",1994,"2nd Session"
"廖光生",1.11654302497513,0.00449698961579326,"K",1994,"2nd Session"
"廖大林",-1.36618684916331,0.00449698961579326,"D",1994,"2nd Session"
"廖永來",-1.39969587816492,0.00449698961579326,"D",1994,"2nd Session"
"廖福本",0.802422988717607,0.00449698961579326,"K",1994,"2nd Session"
"張俊宏",-1.33991810116675,0.00449698961579326,"D",1994,"2nd Session"
"張俊雄",-1.41956770911452,0.00449698961579326,"D",1994,"2nd Session"
"張偉",-0.0939191418022284,0.00449698961579326,"K",1994,"2nd Session"
"張堅華",0.891799410682123,0.00449698961579326,"K",1994,"2nd Session"
"張建國",0.982114575639156,0.00449698961579326,"K",1994,"2nd Session"
"張文儀",0.551421638509058,0.00449698961579326,"K",1994,"2nd Session"
"張旭成",-1.33425224142262,0.00449698961579326,"D",1994,"2nd Session"
"彭百顯",-1.2154898791803,0.00449698961579326,"D",1994,"2nd Session"
"徐中雄",0.989937583713778,0.00449698961579326,"K",1994,"2nd Session"
"徐成焜",0.624176758160665,0.00449698961579326,"K",1994,"2nd Session"
"戴振耀",-1.52730950839753,0.00449698961579326,"D",1994,"2nd Session"
"方來進",-1.45020346102033,0.00449698961579326,"D",1994,"2nd Session"
"施台生",0.496024136804065,0.00449698961579326,"K",1994,"2nd Session"
"施明德",-1.1353741817031,0.00449698961579326,"D",1994,"2nd Session"
"曹爾忠",1.11871116482937,0.00449698961579326,"K",1994,"2nd Session"
"曾振農",0.988737030386311,0.00449698961579326,"K",1994,"2nd Session"
"曾永權",0.636139997923059,0.00449698961579326,"K",1994,"2nd Session"
"朱勝號",-0.0939191418022284,0.00449698961579326,"D",1994,"2nd Session"
"朱星羽",-1.14971786108874,0.00449698961579326,"D",1994,"2nd Session"
"朱高正",-0.221151983069707,0.00449698961579326,"k2",1994,"2nd Session"
"朱鳳芝",0.704251750260135,0.00449698961579326,"K",1994,"2nd Session"
"李友吉",0.929058367056762,0.00449698961579326,"K",1994,"2nd Session"
"李宗正",1.10661862486934,0.00449698961579326,"K",1994,"2nd Session"
"李必賢",0.747604066552712,0.00449698961579326,"K",1994,"2nd Session"
"李慶華",-0.734317583483291,0.00449698961579326,"k2",1994,"2nd Session"
"李慶雄",-1.2984089899621,0.00449698961579326,"D",1994,"2nd Session"
"李源泉",1.06157975070344,0.00449698961579326,"K",1994,"2nd Session"
"李進勇",-1.34065893875821,0.00449698961579326,"D",1994,"2nd Session"
"李顯榮",0.706485076814239,0.00449698961579326,"K",1994,"2nd Session"
"李鳴皋",1.11548850726639,0.00449698961579326,"K",1994,"2nd Session"
"林光華",-1.4255179846435,0.00449698961579326,"D",1994,"2nd Session"
"林國龍",0.501322063101993,0.00449698961579326,"K",1994,"2nd Session"
"林壽山",0.55185254370841,0.00449698961579326,"K",1994,"2nd Session"
"林志嘉",0.977306167710135,0.00449698961579326,"K",1994,"2nd Session"
"林明義",0.580515518369804,0.00449698961579326,"K",1994,"2nd Session"
"林正杰",-0.726177023864265,0.00449698961579326,"O1",1994,"2nd Session"
"林源山",0.886335993950349,0.00449698961579326,"K",1994,"2nd Session"
"林濁水",-1.46978585114041,0.00449698961579326,"D",1994,"2nd Session"
"林瑞卿",-1.31551692837198,0.00449698961579326,"D",1994,"2nd Session"
"林聰明",0.699023126794939,0.00449698961579326,"K",1994,"2nd Session"
"林錫山",0.977927319035136,0.00449698961579326,"K",1994,"2nd Session"
"柯建銘",-1.42939544561625,0.00449698961579326,"D",1994,"2nd Session"
"楊吉雄",0.982726884599493,0.00449698961579326,"K",1994,"2nd Session"
"江偉平",1.09150090307662,0.00449698961579326,"K",1994,"2nd Session"
"江鵬堅",-0.0939191418022284,0.00449698961579326,"D",1994,"2nd Session"
"沈富雄",-1.34722895673086,0.00449698961579326,"D",1994,"2nd Session"
"沈智慧",0.801545489999726,0.00449698961579326,"K",1994,"2nd Session"
"洪冬桂",0.807817825925533,0.00449698961579326,"K",1994,"2nd Session"
"洪奇昌",-1.39366259342902,0.00449698961579326,"D",1994,"2nd Session"
"洪性榮",0.250916499984079,0.00449698961579326,"K",1994,"2nd Session"
"洪昭男",1.02344288407262,0.00449698961579326,"K",1994,"2nd Session"
"洪濬哲",0.970763085413375,0.00449698961579326,"K",1994,"2nd Session"
"洪玉欽",0.928436882019659,0.00449698961579326,"K",1994,"2nd Session"
"洪秀柱",0.666974299501867,0.00449698961579326,"K",1994,"2nd Session"
"游日正",0.501068401071839,0.00449698961579326,"K",1994,"2nd Session"
"游淮銀",0.811940407176235,0.00449698961579326,"K",1994,"2nd Session"
"潘維剛",1.03069690429609,0.00449698961579326,"K",1994,"2nd Session"
"王世雄",0.605637960155203,0.00449698961579326,"K",1994,"2nd Session"
"王國清",0.849339469096545,0.00449698961579326,"K",1994,"2nd Session"
"王天競",1.0693916436124,0.00449698961579326,"K",1994,"2nd Session"
"王建瑄",-0.701766811980664,0.00449698961579326,"k2",1994,"2nd Session"
"王金平",0.865874023249569,0.00449698961579326,"K",1994,"2nd Session"
"王顯明",0.66902747975893,0.00449698961579326,"K",1994,"2nd Session"
"瓦歷斯貝林",-0.760195662902238,0.00449698961579326,"O1",1994,"2nd Session"
"盧修一",-1.26772263895809,0.00449698961579326,"D",1994,"2nd Session"
"程建人",0.948989307119819,0.00449698961579326,"K",1994,"2nd Session"
"羅傳進",1.09069957522289,0.00449698961579326,"K",1994,"2nd Session"
"翁大銘",0.557043280915637,0.00449698961579326,"O1",1994,"2nd Session"
"翁重鈞",0.674779826850684,0.00449698961579326,"K",1994,"2nd Session"
"翁金珠",-1.48410776838112,0.00449698961579326,"D",1994,"2nd Session"
"莊金生",1.04139728359827,0.00449698961579326,"K",1994,"2nd Session"
"華加志",0.91856751951681,0.00449698961579326,"K",1994,"2nd Session"
"葉憲修",-0.733381719981395,0.00449698961579326,"O1",1994,"2nd Session"
"葉耀鵬",-1.50213387159691,0.00449698961579326,"D",1994,"2nd Session"
"葉菊蘭",-1.34115266591814,0.00449698961579326,"D",1994,"2nd Session"
"葛雨琴",0.745058278904256,0.00449698961579326,"K",1994,"2nd Session"
"蔡中涵",0.378434102013881,0.00449698961579326,"K",1994,"2nd Session"
"蔡勝邦",0.778199852555111,0.00449698961579326,"K",1994,"2nd Session"
"蔡友土",0.804782049655264,0.00449698961579326,"K",1994,"2nd Session"
"蔡同榮",-1.33928676085551,0.00449698961579326,"D",1994,"2nd Session"
"蔡式淵",-1.21750431844676,0.00449698961579326,"D",1994,"2nd Session"
"蕭金蘭",0.762935214591612,0.00449698961579326,"K",1994,"2nd Session"
"蘇嘉全",-1.46891216847855,0.00449698961579326,"D",1994,"2nd Session"
"蘇火燈",0.164519320731061,0.00449698961579326,"K",1994,"2nd Session"
"蘇煥智",-1.42954933794517,0.00449698961579326,"D",1994,"2nd Session"
"許國泰",-1.47570713043794,0.00449698961579326,"D",1994,"2nd Session"
"許添財",-1.40467243651719,0.00449698961579326,"D",1994,"2nd Session"
"詹裕仁",0.828777267701735,0.00449698961579326,"K",1994,"2nd Session"
"謝啟大",-0.62150593875232,0.00449698961579326,"k2",1994,"2nd Session"
"謝深山",0.904176795013721,0.00449698961579326,"K",1994,"2nd Session"
"謝聰敏",-0.996136215970802,0.00449698961579326,"D",1994,"2nd Session"
"謝長廷",-1.38518026794001,0.00449698961579326,"D",1994,"2nd Session"
"賴英芳",-0.17441579938323,0.00449698961579326,"O1",1994,"2nd Session"
"趙少康",-0.713853572137665,0.00449698961579326,"k2",1994,"2nd Session"
"趙振鵬",0.979183399858733,0.00449698961579326,"K",1994,"2nd Session"
"趙永清",0.520042257235422,0.00449698961579326,"K",1994,"2nd Session"
"趙琇娃",-1.29312087737966,0.00449698961579326,"D",1994,"2nd Session"
"邱垂貞",-1.35760271631523,0.00449698961579326,"D",1994,"2nd Session"
"邱連輝",-1.31119663622656,0.00449698961579326,"D",1994,"2nd Session"
"郁慕明",-0.602341231929762,0.00449698961579326,"k2",1994,"2nd Session"
"郭廷才",0.959601129875644,0.00449698961579326,"K",1994,"2nd Session"
"郭政權",0.661958606496948,0.00449698961579326,"K",1994,"2nd Session"
"郭石城",1.11244863495019,0.00449698961579326,"K",1994,"2nd Session"
"郭金生",0.946488708256596,0.00449698961579326,"K",1994,"2nd Session"
"鄭逢時",0.81212632690476,0.00449698961579326,"K",1994,"2nd Session"
"關中",0.801453674305276,0.00449698961579326,"K",1994,"2nd Session"
"陳健民",0.860494468719268,0.00449698961579326,"K",1994,"2nd Session"
"陳傑儒",0.650635970512555,0.00449698961579326,"K",1994,"2nd Session"
"陳光復",-1.3314442467848,0.00449698961579326,"D",1994,"2nd Session"
"陳哲男",-1.24134207309489,0.00449698961579326,"D",1994,"2nd Session"
"陳唐山",-0.0939191418022284,0.00449698961579326,"D",1994,"2nd Session"
"陳婉真",-1.41336270334672,0.00449698961579326,"D",1994,"2nd Session"
"陳宏昌",0.932352318998226,0.00449698961579326,"K",1994,"2nd Session"
"陳定南",-1.20103966567568,0.00449698961579326,"D",1994,"2nd Session"
"陳建平",0.657624439143836,0.00449698961579326,"K",1994,"2nd Session"
"陳志彬",-0.140421746348518,0.00449698961579326,"K",1994,"2nd Session"
"陳昭南",-0.885614152585908,0.00449698961579326,"D",1994,"2nd Session"
"陳朝容",0.60929681296311,0.00449698961579326,"K",1994,"2nd Session"
"陳水扁",-1.30212949738689,0.00449698961579326,"D",1994,"2nd Session"
"陳清寶",0.722380229763436,0.00449698961579326,"K",1994,"2nd Session"
"陳璽安",0.976125147215734,0.00449698961579326,"K",1994,"2nd Session"
"陳癸淼",-0.680169862864476,0.00449698961579326,"k2",1994,"2nd Session"
"陳錫章",0.798762576800642,0.00449698961579326,"K",1994,"2nd Session"
"韓國瑜",0.909350685028741,0.00449698961579326,"K",1994,"2nd Session"
"顏錦福",-1.57679394536885,0.00449698961579326,"D",1994,"2nd Session"
"饒穎奇",1.12483021840164,0.00449698961579326,"K",1994,"2nd Session"
"馬賴古麥",0.921677565564803,0.00449698961579326,"K",1994,"2nd Session"
"高巍和",1.12804374926284,0.00449698961579326,"K",1994,"2nd Session"
"高育仁",0.666942456013716,0.00449698961579326,"K",1994,"2nd Session"
"魏耀乾",-1.24814584236782,0.00449698961579326,"D",1994,"2nd Session"
"魏鏞",0.771348094176486,0.00449698961579326,"K",1994,"2nd Session"
"黃主文",0.7315620810992,0.00449698961579326,"K",1994,"2nd Session"
"黃信介",-0.611428958136006,0.00449698961579326,"D",1994,"2nd Session"
"黃昭輝",-1.45838860666469,0.00449698961579326,"D",1994,"2nd Session"
"黃昭順",0.337721481074092,0.00449698961579326,"K",1994,"2nd Session"
"黃正一",0.983392600643051,0.00449698961579326,"K",1994,"2nd Session"
"黃煌雄",-1.33712951736028,0.00449698961579326,"D",1994,"2nd Session"
"黃爾璇",-1.41512332843996,0.00449698961579326,"D",1994,"2nd Session"
"丁守中",0.569621850609329,0.000954021452891112,"K",1995,"2nd Session"
"何智輝",-0.172636422735494,0.000954021452891112,"K",1995,"2nd Session"
"余政憲",-0.172636422735494,0.000954021452891112,"D",1995,"2nd Session"
"余玲雅",-1.25532090584721,0.000954021452891112,"D",1995,"2nd Session"
"侯海熊",-0.172636422735494,0.000954021452891112,"D",1995,"2nd Session"
"劉光華",0.953059759441561,0.000954021452891112,"K",1995,"2nd Session"
"劉國昭",1.07139920597901,0.000954021452891112,"K",1995,"2nd Session"
"劉政鴻",0.844634940980725,0.000954021452891112,"K",1995,"2nd Session"
"劉文慶",-1.51532765490936,0.000954021452891112,"D",1995,"2nd Session"
"劉松藩",0.222253138719946,0.000954021452891112,"K",1995,"2nd Session"
"劉炳華",0.931232474038456,0.000954021452891112,"K",1995,"2nd Session"
"劉瑞生",1.2224188914528,0.000954021452891112,"K",1995,"2nd Session"
"吳德美",0.987554950473103,0.000954021452891112,"K",1995,"2nd Session"
"吳東昇",0.742432885114003,0.000954021452891112,"K",1995,"2nd Session"
"吳耀寬",-0.172636422735494,0.000954021452891112,"K",1995,"2nd Session"
"呂新民",0.865557664438385,0.000954021452891112,"K",1995,"2nd Session"
